DBID,X,Y,PX,PY,u_loc,u_scale,u_mean,u_sd,dpl_m,z_m
4173,597450.39060751,3192313.91453979,585861.485293206,3191583.34399687,-1.169441,1.255633,0.68901,1.407224,83846.4466482306,2732.046631
4174,594296.247381183,3197955.76004101,585494.743027366,3197400.90868621,-1.415571,1.21574,0.510651,0.947111,89675.559685756,2882.049561
4175,596593.838202426,3203208.48118562,585174.014269157,3202488.5696198,-1.380129,1.21734,0.536707,1.00311,94773.3200480571,2976.563477
4176,597566.818435479,3184655.32270769,586342.836610895,3183947.75712898,-1.24961,1.247344,0.622888,1.138027,76195.7025074205,2722.489746
4177,607334.548095542,3161653.93188608,587825.780720391,3160424.0891713,-1.233379,1.249302,0.635935,1.204715,52625.3381187462,1594.382324
4178,606022.794712056,3171333.17115232,587212.819431814,3170147.3806501,-0.996949,1.258074,0.809043,1.532258,62367.9311371839,1859.646606
4179,601809.757481214,3171591.40842667,587179.927678711,3170669.13644223,-0.515769,1.296211,1.412707,3.028535,62890.72265782,2473.867432
4180,598818.013380066,3161110.25780502,587826.20690526,3160417.3286796,-0.903334,1.265087,0.893708,1.627512,52618.5642069065,2754.106934
4181,594694.289057976,3174464.81026977,586971.338278972,3173977.95148626,-1.563631,1.194999,0.428571,0.746652,66206.1059740076,3285.016602
4182,594976.051476791,3167576.36492455,587404.985803785,3167099.08105612,-1.348358,1.22453,0.549586,0.991055,59313.5804158117,3102.312744
4183,601632.122349121,3143668.40890649,588932.536912947,3142867.82051825,-1.001354,1.246541,0.786522,1.378294,35034.2188170106,1770.851563
4184,603180.505678433,3152127.35095566,588407.520771775,3151196.05439993,-0.991539,1.269717,0.83509,1.587051,43378.9849333517,2234.643799
4185,598761.711525116,3150372.76074684,588500.201956868,3149725.86991348,-0.784903,1.276427,1.049861,2.204868,41905.8820088197,2218.450439
4186,604457.514645894,3127163.48681081,589980.08103629,3126250.82196064,-1.207492,1.24027,0.64358,1.123595,18384.2341397229,997.240845
4187,600560.790337421,3135395.71962819,589447.746409109,3134695.14763143,-1.063631,1.262031,0.772994,1.518662,26845.3224970009,1325.60376
4189,592863.904346486,3129876.66568009,589763.826026976,3129681.23515066,-1.095703,1.256539,0.738186,1.421772,21821.4569843066,1107.556152
4191,587667.89898448,3133325.91517508,589526.676546658,3133443.09346724,-1.014441,1.25231,0.793767,1.422761,25590.7829014985,1104.984741
4192,571937.775632402,3132094.86755398,589541.709495254,3133204.62858584,-0.837793,1.276589,0.974321,1.8752,25351.8446475416,1397.744019
4193,568085.509221904,3138498.57091255,589124.365997701,3139824.87124898,-0.791125,1.270952,1.016306,1.98238,31985.2290411776,1709.440918
4194,570583.3431873,3160182.9391022,587772.670728808,3161266.56313863,-1.033704,1.248972,0.781092,1.412293,53469.4844667389,2126.720703
4195,555120.499931919,3147492.43867292,588508.311893695,3149597.22348653,-1.082765,1.26768,0.750064,1.391385,41776.9802080427,1558.322144
4196,563635.274929872,3162887.0240942,587575.37553202,3164396.22033148,-0.908703,1.275934,0.904384,1.689111,56605.354288564,2330.968018
4198,558007.280538027,3164494.50685021,587452.162407292,3166350.72732575,-0.635672,1.30996,1.239855,2.476025,58563.7411412489,2264.993164
4199,554189.012807178,3179310.84261178,586506.716093563,3181348.1672249,-1.050315,1.264943,0.775553,1.42536,73590.9522018731,2866.590332
4200,538599.333881294,3175190.30795919,586703.738683523,3178222.83434371,-0.99108,1.257929,0.831921,1.828651,70459.4152758243,2704.902832
4201,547806.236716246,3182927.63134637,586254.348976947,3185351.42008972,-1.296208,1.229664,0.588595,1.164631,77602.1518555056,3121.831055
4202,548519.300879662,3188874.53298693,585883.759796912,3191230.00766697,-1.274217,1.25122,0.620418,1.269085,83492.4089164227,3000.064697
4204,546625.204944398,3195505.64323214,585459.888372833,3197953.80162044,-1.362603,1.233428,0.547826,1.020282,90229.5501582966,3157.276123
4205,544719.994883631,3229564.92410927,583313.731362745,3231997.89307815,-2.350879,1.125537,0.179306,0.283771,124341.221959783,4677.664063
4206,535113.76463457,3244926.84462377,582311.116321971,3247902.18991408,-3.286695,1.054241,0.065519,0.095363,140277.090143394,5456.161621
4211,535723.692072138,3203076.31641006,584941.36613844,3206179.02386074,-0.798395,1.275489,1.054452,2.822819,98471.1001466096,3333.702393
4219,561549.707090228,3173923.94088821,586874.101298894,3175520.4037054,-0.6556,1.302687,1.221267,2.729914,67751.6200886743,3022.715576
4220,542069.454576909,3162388.91434408,587521.286717513,3165254.22118568,-0.995454,1.262633,0.831007,1.64457,57465.0583455914,2726.854248
4221,578425.204750537,3147514.39213229,588599.182183625,3148155.7648949,-0.519367,1.296308,1.396725,3.019787,40332.6602016113,2072.125
4222,573696.642901717,3170527.15378038,587135.471006483,3171374.34440611,-0.970641,1.25928,0.847115,1.623415,63597.330517961,3459.485352
4223,580044.698584132,3165522.15484367,587474.86775958,3165990.55652452,-1.165412,1.25355,0.689114,1.357572,58202.8553711216,3067.922852
4224,594143.120244535,3141513.86966693,589038.17825239,3141192.05150191,-0.794178,1.282474,1.033646,2.565952,33355.1232602564,1542.313965
4225,583069.533357929,3151592.0508412,588361.526011115,3151925.66077595,-0.519814,1.318174,1.416745,2.78403,44110.0396385171,2264.428467
4227,585273.682002656,3187151.90453511,586137.412954143,3187206.35457789,-2.283618,1.136697,0.196758,0.323183,79460.768542404,3483.681152
4228,575552.847264594,3178114.07789252,586666.428193484,3178814.68374206,-1.499141,1.20651,0.459063,0.795204,71052.4395443024,3688.701172
4229,570927.307476235,3181022.25463251,586465.511316172,3182001.7909828,-1.729876,1.193626,0.364476,0.647117,74245.8734571202,3530.084473
4230,567270.961843646,3182533.40946575,586356.151241535,3183736.54960729,-1.772716,1.178332,0.340975,0.615184,75984.0757212956,3655.328857
4232,555037.052030543,3192544.0858916,585679.1446956,3194475.77915058,-2.114386,1.152639,0.235251,0.391977,86744.6235255035,3427.413086
4233,584856.82480053,3194831.93185704,585653.526468907,3194882.15633939,-2.104796,1.153075,0.236549,0.386224,87151.807406721,3446.367432
4234,587215.701364901,3203959.39876294,585089.741236229,3203825.37714457,-1.825215,1.179497,0.325508,0.59817,96112.7812465842,3608.180908
4235,575005.623866596,3206988.52360638,584851.207462407,3207609.19425282,-1.641019,1.199885,0.399099,0.696184,99904.1095454739,3567.684082
4236,586398.696274354,3210716.75791363,584662.206050058,3210607.28867805,-1.5137,1.228895,0.468944,0.865297,102908.155436682,3822.308594
4239,561504.899819343,3209867.46389074,584616.995060081,3211324.46224478,-1.370318,1.225064,0.533318,0.921872,103626.752652394,3649.359375
4240,570047.101012888,3217493.79018518,584171.943830651,3218384.22753075,-1.738588,1.198746,0.35949,0.60081,110700.532157704,4181.95166
4242,571761.887373554,3229636.79869736,583416.260247853,3230371.49634889,-2.365061,1.118328,0.177031,0.28563,122711.596698193,4644.199219
4244,554265.765799885,3237845.81448154,582831.551921945,3239646.61630969,-3.084373,1.081314,0.082445,0.123706,132005.128541015,4904.760254
4245,565755.057095539,3242542.16912967,582582.142159396,3243602.95721427,-3.259994,1.073908,0.067722,0.095034,135969.323110269,5054.214355
4246,562264.370045647,3247442.19378994,582260.647381083,3248702.76938299,-3.15219,1.076935,0.076567,0.110535,141079.258828923,5237.557129
4247,555585.54568754,3246881.88066999,582269.392694814,3248564.04408979,-3.054674,1.067397,0.083896,0.12749,140940.258154517,5148.226563
4248,550379.528131434,3229306.83193452,583352.339779078,3231385.45491519,-2.886488,1.090786,0.100993,0.15071,123727.568056302,4808.40918
4250,551871.579764229,3202928.76757083,585014.550274572,3205018.1174536,-1.670701,1.194673,0.388904,0.707911,97307.8892440051,3654.539795
4251,557332.190669773,3214612.26287697,584302.547353808,3216312.48801395,-1.640597,1.219448,0.406949,0.707898,108624.680066219,4196.428223
4252,551268.248797785,3216050.24858246,584188.251470481,3218125.54245822,-2.041852,1.159706,0.252652,0.392029,110441.333573865,4348.884766
4253,604295.522671143,3115520.58032848,590710.509267767,3114664.17410645,2.366779,0.108189,10.725603,1.1646,6774.58582901187,338.426605
4254,621174.484803125,3115966.22081177,590749.340334681,3114048.20407853,2.743943,0.115713,15.652406,1.812271,6157.3930495192,431.384735
4257,633985.008712449,3126701.59350718,590125.964672056,3123936.69684545,-0.782345,1.287108,1.045493,2.110755,16065.5152943349,1185.216309
